sample_id,220090_at,226067_at,205900_at,230835_at,226147_s_at,204623_at,223720_at,229659_s_at,202018_s_at,212768_s_at,213432_at,207802_at,205979_at,224328_s_at,206642_at,1560712_at,220267_at,217022_s_at,220620_at,213240_s_at,group
GSM1551352,14.51771056,11.84699976,12.84891272,14.43689746,12.98911194,8.776697165,14.15300429,11.91015299,9.227024498,11.96408596,10.20527353,12.85270371,6.910297647,11.62322979,10.99000146,13.28445738,3.522005811,11.58079685,9.802225487,15.04889615,CIN2
GSM1551353,14.52011848,1.649970993,13.86407131,14.60256,9.102666791,2.508386218,11.33908823,9.661419085,2.20207829,14.58346528,2.450765656,13.05748628,2.704539944,8.387125681,11.91025459,12.73984833,15.4038739,9.393528983,6.785467673,13.04230038,CIN2
GSM1551354,14.49562821,12.64739029,11.49416753,12.12257792,13.53555128,10.2932699,12.45927738,13.64473486,13.12885518,15.02662808,11.65480517,12.30211506,10.65277972,5.524258248,7.733451583,12.67496664,15.185522,13.6727148,3.248529741,14.37731486,CIN2
GSM1551355,15.1288427,1.678866899,15.36596535,15.82289274,3.136129339,1.792257993,14.39283054,3.489080885,2.674207445,13.8885889,2.165643069,13.79391195,3.661746431,14.14850072,13.48749675,13.79069218,15.91924807,8.076792853,11.17408976,15.19102488,CIN2
GSM1551356,12.60104692,14.12774878,7.607228899,5.092744462,14.2594079,13.95978579,6.107452034,13.86359922,12.50829976,12.95023523,13.66097713,10.07555689,12.66740818,3.677934791,2.515044832,9.198956497,16.24420781,15.46328528,1.711244738,15.0900861,CIN2
GSM1551357,13.94257065,5.364926821,10.4680788,13.67813327,13.0224695,9.716754754,14.09126463,11.28384581,9.349565794,15.91929806,5.052018865,13.24043943,11.89295461,13.04413605,7.977950581,12.26064029,13.90455343,8.349723181,8.977243114,13.63952855,CIN2
GSM1551358,14.76512998,11.16055307,6.715264852,10.86986542,12.91459229,12.95673549,12.44792788,12.8789463,11.2921713,16.56880039,11.21303534,12.96142295,13.120068,3.705417811,2.549499055,12.58198484,15.61179364,13.70660226,5.219193105,14.13389397,CIN2
GSM1551359,13.83537852,13.2324305,13.33868853,14.65334403,13.31542283,12.70820795,9.542615699,13.61561058,5.104782317,15.35280478,10.67952213,11.47504142,9.88415749,4.346841383,10.66519946,11.134653,13.8096346,13.9190267,7.543465989,15.12997094,CIN2
GSM1551360,14.41082288,9.573642059,10.12995558,15.27842749,9.139033767,7.179040548,11.98199493,8.77302972,2.286612627,11.38872718,4.542044641,7.81677897,3.877171014,10.28857897,5.985366737,13.5502153,13.72736782,11.35746221,9.205893851,15.40951913,CIN2
GSM1551361,13.36940895,1.633594301,15.02250533,15.12978985,5.101389469,1.67052895,9.170127428,3.30458733,9.292546609,15.3432551,1.966726323,11.79341372,2.659121965,6.513779151,11.22740564,13.33700808,15.12141305,12.62354728,7.530716662,13.0964332,CIN2
GSM1551362,14.5655281,1.652303993,15.03815044,15.74420684,2.109241565,1.742832214,14.84076837,3.081008985,2.333571264,9.637922919,2.071420901,13.76093008,2.718710571,15.58817298,13.84445271,14.19136858,4.397290136,1.954070347,11.06224895,15.07118004,CIN2
GSM1551363,11.43729338,12.85563225,1.868895571,1.74975336,14.05175066,13.43913877,9.267219673,13.64999296,14.03837306,13.13044852,12.68651404,9.805480217,14.76904003,3.656368936,2.46859891,8.580139879,10.715087,13.04592813,1.68575538,14.35542959,CIN2
GSM1551364,12.71767066,1.248954823,14.99553752,13.4062019,1.717277589,2.375262953,8.006560757,3.470374821,2.131215958,3.036510176,2.138727576,7.795239678,2.857689986,8.468733488,4.055717641,10.44567104,6.87582002,8.81817049,6.9399676,10.18297147,CIN2
GSM1551365,7.421817453,14.36942444,13.30879683,9.311144497,15.11256878,15.94874029,2.660409032,14.96001255,15.15503659,10.2605375,15.02596175,5.572637913,16.11220249,3.853849668,2.984091471,3.299257584,11.52401742,15.68567334,1.750661751,7.211430933,CIN2
GSM1551366,14.60060208,11.39303038,9.732880751,8.894777775,13.46897536,13.60513928,12.56560817,13.31607222,11.89343478,16.63538437,12.70009545,15.07559663,12.84391604,3.674453024,6.005404482,13.68907221,15.78220268,15.26742108,2.759088758,14.9849971,CIN2
GSM1551367,14.95387144,11.89147991,14.18532416,14.49418848,13.73628951,13.51193658,14.38850924,13.71183406,11.52730203,14.51507913,10.28659647,15.64121271,14.96653747,14.26210451,9.9506783,14.62705237,15.78773959,10.9912938,11.04683113,13.828813,CIN2
GSM1551368,12.65171639,1.646400109,14.60352905,14.34073455,2.093788535,1.717725556,10.40521299,3.152428945,2.306097077,4.340845129,2.067035921,3.584395179,2.683916083,12.62106869,14.88706819,12.5491157,12.30619313,12.94589948,7.484173908,10.38933971,CIN2
GSM1551369,14.49082864,14.70819767,14.60958208,14.89375969,14.60065176,14.96917228,9.437335555,14.47958689,13.96341732,7.990378356,14.08278165,9.690389814,15.26874048,11.59953585,12.47384949,12.53208529,11.195722,14.80410848,9.554229128,15.2327478,CIN2
GSM1551370,14.16872866,12.97834374,14.44379557,15.26052031,12.87841416,11.03054468,8.927214891,12.90723749,12.43554254,11.31909834,10.89620366,8.034783164,12.58992439,9.998427345,10.87017636,13.53126663,11.11635775,13.37498762,6.753467357,15.26126869,CIN2
GSM1551371,11.32194216,1.67232207,11.52020694,12.58730092,3.901479556,2.428660627,10.69370034,3.79322665,2.140927671,4.087449851,2.55062069,4.180891884,2.823426403,6.049332274,2.534023856,9.464170902,12.71647646,10.475843,4.786947348,13.15408616,CIN3
GSM1551372,11.69128852,10.71805717,1.751059207,9.918042595,13.74864874,11.08628278,8.769827217,12.2354387,11.63475385,15.55978585,9.961954922,4.84648048,10.83605713,4.417216974,2.55074766,9.510887884,6.585744136,7.419653406,1.730858797,13.10996809,CIN3
GSM1551373,12.64862881,11.16982737,10.82178673,12.60551812,12.59274662,8.007628738,4.062239684,12.97700089,10.32601707,14.28575465,9.752754083,4.991413482,5.863745854,5.237224887,2.482867561,8.120955573,11.03057298,12.01035433,0.735894886,14.94973646,CIN3
GSM1551374,11.42618085,1.667513736,1.4736429,11.23536784,3.772497924,2.348472425,10.24166468,4.086106596,2.208746023,4.082741343,2.477330722,3.582157312,2.778420577,8.982101139,2.515171594,9.174212554,9.002905224,14.54366236,6.15140348,2.644102012,CIN3
GSM1551375,13.38775195,2.794184211,13.93652158,13.93742779,9.265640142,6.757397353,11.75057351,8.049095091,2.154645061,14.66462068,3.43559121,11.29595448,5.081698512,6.730438619,9.373681348,11.87128453,13.02884298,1.561872158,8.845323586,14.64743874,CIN3
GSM1551376,14.86055965,1.675403523,11.46232767,14.14339523,7.894900067,3.558958667,13.29849621,4.645970102,6.612256383,12.81333515,3.583807217,12.78377562,6.925282838,10.23177756,11.0400173,13.50012553,7.773547984,9.29756024,12.55842437,15.06682033,CIN3
GSM1551377,14.85287385,1.633667725,14.31196235,14.91049461,3.008201323,2.409628026,9.474423904,3.501786626,2.090136886,14.3458915,2.425260397,12.21788842,2.7069239,4.780038804,11.97125491,10.20697973,4.305865364,1.543232535,7.692848658,15.06039941,CIN3
